Hospital ID,Formal Name,Other Name,Emergency Capable,Location Address,Suburb,Postcode,Access Point,Category,Agency Type
"5488","Albert Road Clinic","Albert Road Clinic","NO","31-33 Albert Road","South Melbourne","3205","","PRIVATE","Private Hospital"
"3485","Albury Wodonga Health","Albury Wodonga Health","YES","69 Vermont Street","Wodonga","3690","","PUBLIC","Public Hospital"
"12990","Albury Wodonga Health, Albury Campus","Albury Wodonga Health, Albury Campus","YES","Borella","Albury","2640","","PUBLIC","Public Hospital"
"3491","Alexandra District Health","Alexandra District Health","NO","20 Cooper Street","Alexandra","3714","","PUBLIC","Public Hospital"
"11519","Alfred Health","Alfred Health","NO","Commercial Road","Melbourne","3004","","PUBLIC","Public Hospital"
"5618","Alpine Health","Alpine Health","NO","30 O'Donnell Avenue","Myrtleford","3737","","PUBLIC","Multi Purpose Service"
"3483","Angliss Hospital","Angliss Hospital","YES","Albert Street","Upper Ferntree Gully","3156","","PUBLIC","Public Hospital"
"12266","Appearance Medical Centre","Appearance Medical Centre","NO","57 Garsed Street","Bendigo","3550","","PRIVATE","Day Procedure Centre"
"3401","Austin Health","Austin Health","NO","145 Studley Road","Heidelberg","3084","","PUBLIC","Public Hospital"
"11733","Austin Health - Austin Hospital","Austin Health - Austin Hospital","YES","145 Studley Road","Heidelberg","3084","","PUBLIC","Public Hospital"
"11744","Austin Health - Heidelberg Repatriation Hospital","Austin Health - Heidelberg Repatriation Hospital","NO","300 Waterdale Road","Heidelberg Heights","3081","","PUBLIC","Public Hospital"
"6272","Bairnsdale Regional Health Service","Bairnsdale Regional Health Service","YES","122 Day St","Bairnsdale","3875","","PUBLIC","Public Hospital"
"6057","Ballan District Health and Care","Ballan District Health and Care","NO","33 Cowie Street","Ballan","3342","","PRIVATE","Bush Nursing Hospital"
"11920","Ballarat Day Procedure Centre","Ballarat Day Procedure Centre","NO","1119/1123 Howitt Street","Ballarat","3355","","PRIVATE","Day Procedure Centre"
"10441","Barwon Health","Barwon Health","YES","272-322 Ryrie Street","Geelong","3220","","PUBLIC","Public Hospital"
"6884","Bass Coast Health","Bass Coast Health","NO","235 Graham Street","Wonthaggi","3995","","PUBLIC","Public Hospital"
"11533","Bayside Day Procedure and Specialist Centre","Bayside Day Procedure and Specialist Centre","NO","141 Cranbourne Road","Frankston","3199","","PRIVATE","Day Procedure Centre"
"10765","Bayside Endoscopy Day Hospital","Bayside Endoscopy Day Hospital","NO","441 South Road","Moorabbin","3189","","PRIVATE","Day Procedure Centre"
"12058","Bayswater Day Procedure and Specialist Centre","Bayswater Day Procedure and Specialist Centre","NO","664 Mountain Highway","Bayswater","3153","","PRIVATE","Day Procedure Centre"
"3609","Beaufort and Skipton Health Service","Beaufort and Skipton Health Service","NO","28 Havelock Street","Beaufort","3373","","PUBLIC","Public Hospital"
"3377","Beechworth Health Service","Beechworth Health Service","NO","52 Sydney Road","Beechworth","3747","","PUBLIC","Public Hospital"
"2416","Beleura Private Hospital","Beleura Private Hospital","NO","925 Nepean Highway","Mornington","3931","","PRIVATE","Private Hospital"
