,Facility ID,Facility Name,Street Name,Suburb/Town,Pcode,Latitude,Longitude,Field/Surface Type,FullAddress,MelwaysVicRoadsRef
0,ALPINE10930,Mount Beauty Pool & Stadium,Pool,MOUNT BEAUTY,3699.0,-36.740988,147.168502,," Pool Road, MOUNT BEAUTY 3699",660 G11
1,ALPINE10919,Bright Community Sports Stadium,Deacon,BRIGHT,3741.0,-36.733294,146.963623,Wooden Gymnasium," Deacon Avenue, BRIGHT 3741",661 P4
2,ALPINE10941,Myrtleford Indoor Sports Complex,O'donnel,MYRTLEFORD,3737.0,-36.552593,146.725872,Wooden Gymnasium," O'donnel Avenue, MYRTLEFORD 3737",663 D3
3,ALPINE10934,Myrtleford Savoy Sports Club,Myrtle  ,MYRTLEFORD,3737.0,-36.553518,146.715794,,"254 Myrtle   Street, MYRTLEFORD 3737",660 B5
4,ALPINE10920,Bright Sports Centre,Gavan,BRIGHT,3741.0,-36.728695,146.958053,," Gavan Street, BRIGHT 3741",661 N3
5,ALPINE10936,Jubilee Park & Swimming Pool,Lewis ,MYRTLEFORD,3737.0,-36.562971,146.724982,"25m Pool - Outdoor, Childrens Learning Pool, Toddlers Pool"," Lewis  Avenue, MYRTLEFORD 3737",660 B7
6,ARARAT12867,Ararat Solar Olympic Swimming Pool,Vincent,ARARAT,3377.0,-37.28075,142.928877,50m Pool - Outdoor," Vincent Street, ARARAT 3377",554 E7
7,ARARAT12881,Lake Bolac Swimming Pool,Montgomery,LAKE BOLAC,3351.0,-37.719091,142.840212,25m Pool - Outdoor," Montgomery Street, LAKE BOLAC 3351",555 T9
8,ARARAT12893,Willaura Swimming Pool,Delacome,WILLLAURA,3379.0,-37.546062,142.745701,," Delacome Way, WILLLAURA 3379",555 T3
9,BALLAR12530,UniSports,University,MOUNT HELEN,3350.0,-37.625352,143.890766,," University Drive, MOUNT HELEN 3350",572 K11
10,BALLAR12537,Wendouree Sports & Events Centre ,Norman,WENDOUREE,3355.0,-37.535116,143.843576,Wooden Gymnasium," Norman Street, WENDOUREE 3355",566 B2
11,BALLAR12508,Major League Indoor Sports Centre,Howitt,BALLARAT NORTH,3350.0,-37.542845,143.857234,,"502 Howitt Street, BALLARAT NORTH 3350",566 D4
